Element1,Element2,BondType,BondLength,BondEnergy
H,I,Single,161,299
H,Br,Single,142,366
H,Cl,Single,127,431
H,S,Single,132,347
H,P,Single,138,322
H,Si,Single,145,323
H,F,Single,92,566
H,O,Single,94,467
H,N,Single,98,391
H,C,Single,110,416
H,H,Single,74,436
C,I,Single,210,213
C,Br,Single,191,285
C,Cl,Single,176,327
C,S,Single,181,272
C,P,Single,187,264
C,Si,Single,194,301
C,F,Single,141,485
C,O,Single,143,358
C,N,Single,147,285
C,C,Single,154,346
N,I,Single,203,,
N,Br,Single,184,,
N,Cl,Single,169,193
N,S,Single,174,,
N,P,Single,180,200
N,Si,Single,187,335
N,F,Single,134,272
N,O,Single,136,201
N,N,Single,140,160
O,I,Single,199,201
O,Br,Single,180,,
O,Cl,Single,165,205
O,S,Single,170,,
O,P,Single,176,340
O,Si,Single,183,368
O,F,Single,130,190
O,O,Single,148,146
F,I,Single,197,,
F,Br,Single,178,238
F,Cl,Single,163,255
F,S,Single,168,326
F,P,Single,174,490
F,Si,Single,181,582
F,F,Single,141,158
Si,I,Single,250,234
Si,Br,Single,231,310
Si,Cl,Single,216,391
Si,S,Single,221,226
Si,P,Single,227,,
Si,Si,Single,234,226
P,I,Single,243,184
P,Br,Single,224,264
P,Cl,Single,209,319
P,S,Single,214,,
P,P,Single,220,209
S,I,Single,237,,
S,Br,Single,218,213
S,Cl,Single,203,255
S,S,Single,208,226
Cl,I,Single,232,209
Cl,Br,Single,213,217
Cl,Cl,Single,200,242
Br,I,Single,247,180
Br,Br,Single,228,193
I,I,Single,266,151
N,N,Double,120,418
N,N,Triple,110,946
C,N,Double,127,616
C,N,Triple,115,866
N,O,Double,118,607
O,O,Double,121,498
C,C,Double,134,598
C,C,Triple,121,813
C,O,Double,121,695
C,O,Triple,113,1073
N,O,Triple,108,632